txnAmt,status,payer_vpa,payee_vpa,ip_address,hour,date,transaction_type_encoded,transaction_frequency
8167,0,90,5,165.171,23,61,0,3
4053,1,19,19,15.89,13,65,2,1
5247,1,3,22,198.119,21,68,2,1
19849,0,27,28,132.95,19,61,2,1
11136,1,49,32,187.208,0,60,1,1
17750,0,7,29,122.215,11,62,1,1
6573,1,63,17,188.231,6,67,1,1
3781,0,51,27,191.186,3,63,2,1
11872,1,31,3,254.24,23,61,1,1
9247,1,49,5,132.131,12,63,0,1
1515,1,32,27,8.111,15,60,2,1
9175,1,64,8,162.253,21,67,0,1
12328,0,57,12,200.18,22,65,0,2
13167,0,17,20,37.227,22,68,1,1
2603,1,91,20,204.96,16,67,2,2
8918,1,19,21,73.56,16,62,1,2
3628,1,22,21,116.66,15,68,1,2
3977,1,57,22,99.38,22,66,1,1
12729,1,27,22,178.47,16,67,1,1
9928,1,63,20,146.206,1,67,1,2
10377,1,10,9,182.152,3,61,2,1
1305,1,58,28,167.65,11,60,2,1
15055,0,45,31,143.112,9,60,1,1
9929,1,47,9,33.142,16,63,1,1
837,1,65,21,100.208,16,60,1,1
92,1,27,2,244.133,7,67,2,1
9121,1,68,6,140.202,10,61,1,1
153,1,10,15,191.172,13,61,0,2
12919,1,86,21,241.1,19,63,0,1
6999,0,1,15,96.143,12,61,1,1
19926,0,21,14,173.16,0,65,2,1
18138,0,33,20,146.25,13,62,0,1
16131,0,16,10,160.183,15,63,2,1
7148,0,30,5,210.82,10,65,1,2
6390,1,84,26,98.36,21,66,2,2
6498,1,3,21,7.186,12,64,1,1
3309,1,26,23,180.173,12,66,2,1
12452,1,4,32,107.246,20,67,0,1
3541,1,50,3,36.22,9,64,2,1
1345,1,42,4,162.11,13,60,2,1
5898,1,8,5,14.139,12,63,2,1
10776,1,25,23,55.114,20,67,2,1
411,1,81,24,95.24,3,62,2,1
9419,1,74,6,242.211,3,64,0,1
1173,0,89,15,251.129,17,69,0,3
7844,1,43,31,236.99,1,65,1,1
3112,1,57,17,64.96,12,68,2,1
6072,1,92,7,109.151,6,61,0,2
6864,0,8,22,25.52,9,63,0,1
16523,0,86,3,100.187,23,60,0,1
382,1,98,31,248.176,8,68,1,1
5190,1,16,15,126.82,8,62,1,1
13412,1,89,15,139.34,20,69,1,3
7151,0,11,22,93.171,3,66,1,1
11388,0,62,17,221.127,21,65,2,1
13899,1,76,10,135.19,15,69,1,1
6427,1,61,6,196.197,3,65,1,1
9997,1,13,11,46.241,11,62,2,1
9917,1,98,30,101.137,0,60,1,2
14395,0,84,29,196.219,12,63,2,1
10093,0,50,2,127.97,8,63,0,1
3913,1,90,24,40.237,1,64,2,1
1411,1,76,26,240.78,6,66,1,1
5760,0,87,33,199.2,2,62,1,2
3188,1,5,1,164.106,4,61,0,2
5825,1,44,18,76.177,7,62,1,1
1326,1,57,18,251.248,8,62,2,1
8228,1,72,16,1.11,20,64,0,1
6458,1,61,24,146.4,9,65,2,1
9513,1,54,16,236.225,20,63,1,1
10965,1,88,30,24.101,6,61,1,2
9866,1,74,22,126.106,8,63,1,3
190,1,44,1,138.7,14,66,0,2
10549,1,37,7,88.235,11,64,0,1
1973,1,26,1,47.23,2,64,2,1
8130,1,25,31,152.4,13,63,1,1
6897,0,50,27,44.223,12,63,0,1
11691,0,17,8,110.192,20,69,1,1
1580,1,49,15,82.11,12,68,2,2
7883,0,38,4,197.187,1,64,2,1
14864,0,65,14,86.83,9,60,1,1
11633,1,9,11,228.237,14,61,1,1
12142,1,72,22,94.161,9,67,2,1
4974,1,93,2,2.154,19,61,0,2
2623,1,35,15,155.24,23,62,2,1
11693,0,42,13,13.248,17,61,0,1
305,1,34,21,16.214,1,66,2,2
11583,1,45,2,69.19,8,65,1,1
13821,1,88,6,217.24,15,62,0,1
11591,1,37,13,71.13,20,60,0,1
11382,0,66,10,204.11,0,67,2,3
7122,1,66,17,203.215,8,66,2,1
11188,0,16,11,96.91,13,62,1,1
5077,1,57,12,141.228,16,67,2,1
9271,1,11,3,192.178,14,61,0,1
4360,1,97,5,155.4,11,68,2,1
7515,1,81,12,22.107,18,69,0,1
12599,0,12,11,91.55,1,68,2,1
6331,1,87,5,190.64,23,69,0,1
11058,0,45,29,164.195,2,67,1,1
8809,0,80,19,14.195,15,65,0,1
11320,0,61,15,159.3,2,65,2,1
4879,1,29,30,145.84,10,63,2,1
1958,1,100,19,132.214,10,67,1,2
5498,0,1,30,2.94,22,69,0,1
14627,0,95,30,107.3,18,69,1,2
627,1,4,25,202.193,18,65,1,1
10856,1,54,32,132.187,9,60,0,2
13004,1,58,18,133.242,14,61,2,1
531,1,76,6,47.49,13,63,1,1
9693,0,73,29,113.57,5,63,1,1
1265,1,67,13,79.117,9,64,0,1
6891,1,39,15,145.249,8,63,2,1
10184,1,75,8,249.227,6,60,2,1
5626,1,95,5,118.24,15,62,2,1
1048,1,92,5,248.237,20,61,0,1
3646,1,2,3,18.38,4,67,2,3
235,1,98,26,153.151,12,63,1,2
11686,0,1,4,133.8,8,69,2,1
1741,0,6,3,130.143,2,65,1,1
5656,1,34,25,40.22,10,66,1,2
1582,1,84,2,95.146,3,69,0,1
12887,1,17,18,133.36,4,67,1,1
14872,1,39,23,166.91,10,66,0,1
11281,1,81,27,25.88,18,60,0,1
5392,1,28,10,173.131,2,62,2,2
10905,1,3,27,98.218,5,60,2,1
6524,0,91,26,193.195,17,65,1,1
19736,0,31,22,238.119,3,69,1,1
3292,1,67,25,101.189,5,69,1,2
10772,0,48,32,93.16,18,67,1,2
7912,0,68,29,100.251,3,60,1,1
8729,0,52,20,238.185,21,62,0,3
8080,0,49,27,106.33,2,68,2,1
5980,1,52,26,172.106,9,60,1,1
11087,1,72,21,195.26,2,61,0,2
12236,1,50,19,76.133,0,60,2,2
458,1,23,3,239.75,9,62,2,1
6605,1,87,27,59.2,20,66,0,1
9285,0,56,28,148.168,13,69,1,1
14637,1,8,4,73.27,12,69,2,1
7642,0,72,10,210.8,21,65,2,4
16832,0,74,11,143.72,21,64,1,1
8995,1,70,24,68.51,1,65,2,1
4396,1,38,18,92.135,18,67,0,1
10843,0,37,6,141.225,22,69,1,1
13439,1,15,29,73.143,5,68,0,1
12978,1,49,33,129.202,19,65,2,1
14261,1,24,21,188.206,21,67,2,3
12263,1,83,8,107.151,22,62,2,1
8597,0,31,26,150.135,16,62,1,1
13111,1,90,9,209.209,21,67,0,1
9275,1,93,26,228.243,17,62,1,1
2750,0,76,23,51.203,21,64,2,2
5703,1,31,10,73.204,0,62,1,1
2014,1,61,3,9.2,18,68,0,1
8534,1,68,9,87.134,4,64,2,2
6403,0,33,19,18.229,8,69,1,1
1983,0,20,12,148.183,18,68,2,1
11321,0,89,25,171.91,8,68,0,2
14675,1,77,21,188.147,4,67,2,1
1992,1,78,32,220.102,12,64,2,1
2260,1,37,33,163.111,16,66,2,1
5347,1,19,29,30.24,1,60,2,2
14134,1,27,14,112.169,11,69,2,1
1428,1,79,15,67.212,17,62,1,2
11329,1,47,8,20.143,15,63,2,1
1189,1,16,12,35.2,18,60,0,1
2705,0,50,7,10.87,2,63,2,1
14768,1,59,18,91.92,0,66,1,1
8653,1,95,12,110.175,10,63,1,1
2328,0,95,30,242.59,13,61,1,2
13494,1,89,28,17.101,5,65,0,1
3557,0,84,4,200.64,15,66,0,1
14491,0,7,17,163.254,17,64,2,1
13429,0,5,20,156.215,20,69,0,2
5511,1,94,9,68.49,8,63,2,1
6607,1,80,2,67.5,8,68,2,2
201,1,55,20,105.62,12,60,2,1
6126,0,88,23,150.191,3,64,0,2
12999,0,91,18,97.169,10,60,2,2
5880,1,59,23,185.146,6,69,1,1
10321,1,53,14,167.136,1,69,1,2
9003,0,81,14,247.186,14,68,1,1
14086,1,43,17,239.13,17,60,2,2
1705,0,10,23,6.122,7,60,2,2
3014,0,76,2,140.1,1,67,2,1
14588,0,15,13,60.37,12,67,2,1
8233,1,24,11,29.88,6,65,0,1
9710,1,31,14,30.8,2,65,0,1
11849,0,25,28,8.238,11,64,2,2
711,1,73,1,109.126,9,69,1,1
10495,1,79,2,235.9,10,69,1,2
5165,1,71,24,70.182,5,69,1,2
9881,1,4,13,97.199,4,62,0,1
16561,0,26,22,102.253,3,62,2,1
13331,1,14,30,109.79,21,68,1,2
13115,0,57,19,169.91,22,69,0,1
14614,0,8,7,150.79,17,63,1,1
1558,1,36,11,146.19,3,68,2,1
13764,1,15,31,167.2,16,63,0,1
14874,0,44,29,135.133,19,62,1,1
4915,0,66,21,43.79,5,63,0,2
7723,1,13,14,181.167,13,68,1,1
10980,1,56,24,52.123,3,67,1,1
7404,1,62,21,228.0,21,61,0,2
9400,1,94,33,218.95,4,61,2,1
1965,1,41,26,169.136,18,60,0,2
5009,1,71,29,173.107,22,65,1,2
4680,1,65,19,223.114,11,61,0,1
1825,1,79,15,138.43,23,63,2,1
7483,1,70,1,209.253,12,64,0,1
14905,1,8,13,243.47,18,62,0,1
11743,1,69,6,18.86,3,69,1,1
1512,1,89,20,61.69,11,61,2,1
1086,0,26,26,118.34,15,66,0,1
8055,1,97,3,240.59,4,66,0,2
1641,1,69,1,215.4,5,69,0,1
1993,1,54,22,234.203,14,66,0,1
13241,1,91,2,31.253,8,68,2,1
2997,1,95,3,111.72,19,68,0,1
12540,1,56,28,19.6,19,66,1,1
12176,1,58,1,248.248,8,65,0,1
13750,1,24,16,108.194,6,61,0,1
19618,0,79,1,68.17,4,68,1,1
10107,1,80,3,209.211,17,60,1,1
8124,1,69,9,23.76,9,65,2,1
1391,1,5,28,118.5,1,69,1,2
13233,1,82,28,219.7,4,64,2,2
6051,0,38,5,243.13,14,67,2,1
4205,1,51,18,135.127,16,67,2,1
11037,1,36,19,86.218,6,69,1,2
11409,1,17,3,216.237,7,68,2,1
9756,1,44,12,106.151,15,64,1,1
13031,1,16,6,33.52,23,66,1,1
3281,0,58,20,149.81,7,66,1,1
18158,0,64,5,123.125,10,68,2,1
7289,1,68,19,180.242,19,64,2,1
6400,1,1,2,7.26,13,64,1,1
6920,0,71,16,164.231,20,60,0,1
2553,0,1,11,154.81,19,62,1,1
13538,1,94,19,155.15,5,61,0,1
1597,1,7,12,109.248,12,67,0,1
7977,0,33,18,209.167,22,68,2,1
4356,1,46,5,158.58,13,65,1,1
6730,1,20,26,58.68,2,66,0,1
2014,1,28,1,170.9,0,60,0,2
7334,1,44,1,176.154,20,62,1,1
6908,0,22,20,32.42,5,66,2,1
4340,1,13,23,178.233,4,69,2,1
10654,0,20,26,66.162,18,63,0,2
10207,0,57,29,195.29,21,61,0,1
12563,1,45,7,44.187,21,60,2,2
12688,1,6,29,82.65,2,66,1,1
6919,1,70,26,156.137,2,63,1,1
6816,1,45,5,233.209,16,60,0,2
6379,1,54,2,20.23,4,63,0,2
1986,1,81,8,101.29,12,60,2,2
8667,0,87,25,144.168,18,69,1,1
13618,1,100,27,8.232,3,62,1,2
11079,1,89,13,194.107,2,60,0,1
11136,1,5,19,204.233,17,69,0,1
8456,1,86,28,252.219,22,68,0,1
13595,1,28,28,32.1,10,63,2,1
2866,1,74,24,181.144,22,65,2,2
6467,1,63,2,116.181,6,67,1,1
5217,1,72,20,236.123,9,60,1,2
4350,1,49,2,10.16,5,62,2,1
7476,1,57,25,128.242,15,69,0,1
16839,0,45,26,113.194,6,69,1,3
4904,0,21,11,27.128,19,65,1,1
11265,1,35,30,95.173,15,63,0,1
17004,0,62,6,200.33,15,64,0,1
1754,1,2,18,7.3,13,65,2,1
317,1,54,21,20.95,15,68,1,1
4387,1,53,19,122.125,2,64,0,1
13344,1,94,27,102.243,18,64,2,1
11093,1,84,17,73.77,9,65,0,1
13645,1,22,21,239.15,8,68,2,2
13492,0,11,21,117.155,4,68,1,1
10638,1,28,26,121.252,14,69,2,1
1953,1,17,33,121.12,14,68,2,1
4020,1,1,27,245.209,10,60,0,1
8487,1,32,6,46.14,0,62,0,1
4838,1,10,20,38.182,22,62,2,2
2148,1,59,3,233.204,14,60,1,1
10255,1,54,6,55.137,20,69,0,1
651,1,3,14,188.2,6,64,0,1
16668,0,15,18,148.93,22,60,0,1
1641,1,33,12,209.12,3,62,1,2
14189,0,32,14,216.1,10,65,2,1
2509,0,55,20,146.11,11,68,1,1
14326,1,9,16,2.195,21,60,1,1
2033,1,49,16,98.212,14,64,2,1
4796,0,99,2,245.48,7,61,2,1
11388,0,21,28,152.99,1,69,2,1
12564,1,37,15,120.79,5,65,1,1
11849,0,42,6,137.201,17,61,2,1
9986,1,27,3,61.148,2,64,2,1
7720,1,35,28,152.118,16,63,1,1
3992,1,60,30,239.235,2,65,0,3
1985,1,85,31,53.11,7,64,2,1
5350,1,24,1,103.85,18,69,1,1
13248,0,12,28,94.208,2,67,1,4
2924,1,38,17,134.25,6,60,0,1
12603,1,61,28,123.168,12,66,2,1
6292,1,76,18,211.148,10,68,1,1
12709,1,95,28,236.82,9,65,2,1
4775,1,22,9,178.204,11,65,2,1
6078,1,24,33,12.57,17,63,2,1
8202,0,76,4,175.234,18,69,0,1
18999,0,78,1,143.159,23,64,2,1
10247,1,49,11,11.76,11,61,0,1
10794,0,69,20,209.244,1,66,2,1
13341,0,30,4,222.212,2,68,1,2
13202,1,33,12,102.7,10,65,1,1
4920,0,100,27,2.174,7,62,0,2
4510,0,57,15,221.97,9,69,0,1
9070,1,100,27,159.216,9,60,1,2
681,1,61,1,130.72,17,67,0,1
14976,1,68,2,197.208,14,69,1,1
1735,1,57,1,2.51,22,67,1,1
9038,0,92,16,61.67,21,65,1,1
10808,1,40,10,80.22,3,60,1,1
6136,1,36,27,214.226,8,61,2,1
1618,0,18,19,26.31,22,60,1,1
9038,0,42,26,48.33,12,60,2,1
7291,1,62,23,163.172,12,63,2,1
9694,1,58,22,208.11,7,61,1,3
11493,0,27,10,7.167,4,65,2,2
2165,1,22,13,67.85,12,60,2,1
6939,1,35,11,29.119,18,61,2,1
1228,1,37,18,43.177,10,68,1,1
3763,1,9,21,206.21,16,64,1,1
6448,1,8,1,15.134,8,64,0,2
11635,1,13,15,35.145,10,64,0,1
1233,0,62,14,58.6,2,69,0,1
11387,0,47,23,241.126,11,64,1,2
6266,0,51,16,238.104,16,67,0,1
9745,0,10,26,180.112,21,63,2,1
1517,1,1,11,12.3,13,67,0,1
10283,0,69,32,63.234,8,62,1,2
7368,1,5,8,80.142,23,61,0,2
19441,0,3,23,194.34,5,68,1,1
7059,1,84,25,139.42,5,60,0,1
170,1,34,2,154.236,3,68,1,2
10569,1,68,17,183.93,0,68,2,1
7038,0,21,13,168.37,6,69,2,1
14770,1,72,8,66.207,12,66,1,1
4022,1,15,4,7.184,14,65,0,1
11593,1,60,11,89.155,17,66,1,1
12446,1,78,19,241.25,5,64,1,1
10031,1,24,5,66.166,16,65,0,1
3304,0,25,8,0.88,5,64,2,1
9377,1,87,25,187.14,6,61,2,1
4398,0,20,31,211.91,7,60,2,1
4617,1,46,20,128.52,0,60,1,1
4840,1,37,12,33.185,16,65,0,1
10426,1,5,4,13.1,21,69,0,1
10093,1,47,5,118.3,2,61,0,1
844,1,94,23,121.89,4,62,1,1
13613,0,93,33,207.1,7,68,1,1
3773,1,8,15,227.227,13,69,0,3
10973,1,10,22,64.241,22,65,0,1
12632,1,95,7,3.243,4,69,1,2
13065,1,22,22,154.188,10,65,0,2
2364,1,96,10,246.239,1,63,1,1
4046,1,40,20,235.75,12,65,0,1
7913,1,24,21,15.185,12,62,0,1
4143,1,97,22,38.96,18,67,2,1
14447,1,55,3,158.104,14,61,2,1
15091,0,89,20,89.231,20,62,2,1
10451,0,86,25,200.3,16,64,0,2
3253,1,44,24,5.131,0,68,0,1
5003,1,81,11,131.78,3,65,0,1
10253,1,53,27,94.106,16,69,2,1
3285,1,18,16,126.157,1,66,0,1
7369,1,59,19,186.124,23,67,0,1
3745,1,54,25,26.65,17,66,0,1
13044,1,99,10,18.129,18,60,0,1
331,1,62,13,184.4,6,64,1,1
7829,0,86,9,180.95,5,64,2,1
11405,1,71,27,197.25,13,61,1,1
6903,1,62,8,112.191,5,69,0,1
2690,1,41,21,158.38,14,68,0,3
12316,1,21,21,111.72,12,62,2,3
2690,1,98,16,141.254,22,60,1,1
4479,1,46,17,212.239,4,64,2,2
5865,1,89,6,194.156,18,67,0,1
9078,0,99,5,97.38,19,60,0,2
2451,0,21,4,240.31,14,60,0,2
12791,0,74,22,130.245,3,68,1,2
4350,0,64,5,194.75,21,66,2,1
5014,1,77,4,202.174,0,63,2,1
9723,1,74,12,242.83,18,60,1,1
5698,1,52,33,140.212,2,62,1,2
4128,1,21,30,72.2,2,61,2,1
296,1,45,13,166.203,13,60,1,1
3700,1,58,14,190.13,16,66,2,1
7273,0,4,21,23.69,21,62,1,1
2027,1,92,23,198.156,16,62,0,1
3144,1,20,14,205.25,8,62,1,2
5813,1,63,32,248.243,3,67,0,3
5756,1,19,27,61.146,12,64,1,1
14869,1,65,19,218.239,19,67,1,1
6345,1,17,9,114.215,2,65,0,1
822,1,67,31,163.24,5,69,2,2
6318,0,81,18,175.117,6,65,1,1
9566,1,23,4,196.181,20,67,0,1
1034,0,54,32,238.87,23,65,1,1
13209,1,23,18,157.197,18,62,1,1
5036,0,91,8,58.249,18,65,1,1
6844,1,12,33,65.119,5,60,0,1
5486,1,10,30,176.249,11,67,0,1
15988,0,71,28,25.241,6,66,2,1
2083,1,96,12,194.79,3,64,0,1
5743,1,70,6,218.82,11,65,1,1
9299,1,19,3,211.77,21,63,2,2
12512,0,17,30,144.33,0,64,0,1
4911,1,71,23,86.253,13,60,0,1
5156,1,10,26,79.224,19,62,1,1
7070,1,51,3,250.199,11,60,1,1
8761,1,85,25,215.137,10,68,2,1
1568,0,98,7,189.125,19,61,1,1
4181,0,42,30,58.108,2,69,0,2
5691,1,70,5,87.216,18,63,2,1
2767,1,13,20,210.0,3,60,1,2
13759,1,5,13,156.19,13,61,1,1
10194,1,84,16,143.64,5,67,2,1
2964,1,77,14,93.143,1,62,2,2
17334,0,46,20,236.246,2,63,1,1
6618,0,44,30,78.131,18,65,1,2
12532,0,56,28,161.238,2,64,2,1
3268,1,35,3,189.207,7,62,0,1
5860,1,62,32,61.106,15,62,1,1
8549,1,44,14,240.151,18,60,2,2
1211,1,22,32,25.17,1,62,2,1
14666,1,96,21,250.24,11,67,0,1
3931,1,61,24,122.102,11,63,2,2
12825,1,40,3,51.3,5,68,2,1
12850,1,66,7,85.157,7,63,0,2
2145,0,32,7,108.54,14,65,2,3
2074,1,46,3,219.5,9,66,2,1
3650,0,8,14,249.12,10,69,0,1
3004,0,19,31,163.86,20,61,0,1
12463,0,76,11,86.157,15,67,0,1
683,1,72,30,69.174,20,62,1,1
617,1,75,13,223.103,16,68,1,1
1219,1,3,10,195.244,18,64,1,1
1924,0,4,6,155.105,20,65,1,1
14034,1,68,14,62.55,21,67,0,1
3253,1,94,5,23.53,12,61,0,1
5550,1,46,6,93.68,16,66,0,1
8332,0,70,7,220.17,16,60,2,1
8413,0,48,33,127.156,1,60,1,1
13278,1,92,24,43.113,0,63,1,1
13460,1,2,6,71.17,5,68,1,1
2253,1,48,16,192.189,2,62,1,1
1140,1,33,27,151.27,18,62,0,2
13527,0,93,7,129.193,20,62,0,2
10411,1,71,7,229.179,8,64,1,1
2430,1,50,7,25.8,10,67,1,1
17388,0,52,8,232.94,4,65,1,1
16300,0,54,5,45.8,6,60,0,1
1160,1,55,7,84.36,18,66,2,1
9173,1,24,21,123.151,19,67,0,3
18228,0,12,21,181.159,22,63,1,1
1501,1,62,27,156.34,12,62,1,2
4543,0,47,7,186.51,4,69,1,1
19707,0,75,24,242.49,3,69,2,2
10984,0,75,6,254.24,21,61,2,1
1828,1,61,3,129.249,18,67,1,1
4175,1,45,26,204.76,8,69,1,3
334,1,11,12,154.126,2,68,1,1
3794,0,39,3,3.7,16,67,2,1
12436,1,75,15,126.178,20,60,0,2
13137,1,61,20,211.31,12,65,2,1
3790,1,95,31,211.11,14,67,1,2
11342,1,40,19,207.211,11,64,0,1
2132,1,23,23,155.111,14,64,2,2
14072,1,60,24,106.25,21,67,0,1
10096,1,80,19,167.66,16,66,2,1
7780,1,54,8,88.44,12,61,1,1
10321,1,22,23,115.209,0,68,1,1
7534,1,66,20,169.1,13,68,0,2
14904,1,5,6,75.132,8,68,0,1
3178,1,52,15,115.78,11,67,2,2
8304,1,90,19,131.105,22,61,2,1
2228,1,15,9,46.73,8,68,0,3
18759,0,12,8,173.96,20,62,2,1
12366,1,69,9,99.184,1,64,0,1
13424,1,10,23,117.216,8,60,1,2
4895,1,63,32,53.178,5,61,2,1
8262,1,41,4,177.131,23,60,0,1
1866,1,42,10,197.62,22,69,0,2
9393,1,92,27,55.115,16,65,1,2
9184,0,27,5,40.76,21,62,2,1
7970,1,24,22,22.155,0,61,2,1
7547,1,11,21,119.41,19,69,2,1
14164,1,2,12,200.112,2,64,0,1
9426,1,5,7,175.89,6,63,0,2
7247,1,74,26,213.164,20,64,1,1
12003,1,16,9,72.237,15,69,2,1
6523,1,59,11,143.6,15,69,0,1
15454,0,47,9,240.3,14,61,1,1
10664,1,37,25,120.187,18,69,0,1
8500,1,62,19,102.96,2,63,0,2
4518,0,83,24,49.162,5,62,2,1
8406,1,71,30,78.98,17,60,0,2
7129,0,65,16,93.231,18,63,0,1
13168,1,23,1,251.51,9,65,0,1
10370,1,36,15,80.97,5,62,0,1
10912,0,80,10,212.32,11,63,2,1
18098,0,40,21,223.66,16,64,0,2
1838,1,18,28,38.246,7,62,2,1
3095,0,49,29,169.183,8,65,0,1
11928,0,11,17,77.191,0,68,1,2
3376,1,43,16,155.233,5,66,2,1
325,1,17,24,116.3,3,69,2,1
15836,0,88,10,199.87,16,63,1,1
14366,1,93,23,105.48,0,66,1,1
8042,1,92,1,32.141,23,62,1,1
8597,1,15,7,196.13,15,61,1,1
9100,1,80,6,85.191,13,67,0,1
11584,1,35,17,92.206,13,60,2,1
2020,1,91,24,94.34,5,67,2,1
499,1,27,13,106.138,6,65,2,1
12667,0,6,5,48.87,20,64,0,1
14048,1,67,20,99.224,16,64,0,1
165,1,18,25,183.14,18,64,2,1
722,1,11,14,33.163,17,64,2,1
2350,1,31,25,212.126,14,66,0,2
6283,1,20,11,83.185,10,62,0,1
6301,1,24,32,250.23,11,63,1,1
9603,0,36,9,89.68,2,60,2,1
9822,1,12,1,206.15,9,68,2,1
6818,1,11,25,185.58,20,63,1,1
4591,1,76,22,227.176,17,61,2,1
16986,0,96,17,123.37,17,62,2,1
1911,1,60,33,82.3,0,64,0,2
2654,0,31,4,184.93,10,64,2,1
8715,0,24,30,58.206,20,67,2,1
4918,1,51,4,106.189,2,62,2,1
13008,1,98,12,250.65,7,61,1,2
16379,0,81,26,228.239,3,63,0,1
14918,1,99,27,17.3,0,64,0,1
11798,0,13,33,6.77,5,67,2,1
1264,1,21,21,173.106,23,61,1,1
6193,0,75,28,75.13,17,63,0,1
354,1,24,25,211.105,0,60,1,5
9920,1,41,29,13.147,8,69,0,1
10787,1,86,13,237.1,0,61,2,1
18353,0,60,15,133.102,6,66,1,2
12139,1,40,15,30.5,0,69,0,1
8586,0,52,19,199.72,15,65,2,2
15411,0,9,15,124.85,2,69,2,1
8826,1,76,21,227.182,21,61,0,1
5351,1,4,30,62.82,2,60,0,2
2829,1,74,6,202.251,12,68,2,1
8847,1,69,6,197.95,13,67,0,2
3311,1,58,20,204.179,12,64,2,2
7873,1,64,3,77.39,2,69,1,2
9389,1,25,19,13.183,12,64,1,1
16701,0,42,2,144.23,18,65,0,2
1773,0,79,8,5.181,5,69,2,2
4029,1,32,3,202.235,0,68,0,1
2889,1,18,20,45.4,2,69,1,1
13599,1,26,2,245.17,21,65,1,1
12922,0,77,32,141.149,7,67,2,1
19627,0,25,15,182.24,8,64,0,1
18892,0,26,31,49.82,22,62,1,2
13815,1,79,8,170.135,4,68,1,1
1338,1,34,3,37.138,9,69,2,1
12684,0,15,14,157.36,6,67,0,1
8642,0,21,25,20.135,19,69,1,1
5474,1,75,23,115.138,11,69,1,1
8478,0,86,6,65.47,13,64,2,1
320,1,78,22,193.5,22,61,0,1
13500,1,75,9,208.195,23,69,1,1
6304,0,19,30,72.233,6,65,2,1
12549,1,33,29,145.28,14,67,1,1
7399,1,56,21,30.59,10,67,0,1
12453,1,24,23,193.21,17,65,1,1
18346,0,70,8,134.163,19,69,1,2
8408,1,33,11,123.28,18,65,0,1
3217,1,93,6,242.164,8,68,2,1
1855,1,75,11,186.233,20,63,0,1
5616,0,29,7,173.254,18,65,0,1
7538,1,54,31,222.158,18,63,2,1
8832,1,50,3,212.177,18,67,0,2
291,1,73,6,110.241,6,69,2,1
3770,1,77,14,159.4,12,62,0,2
17684,0,44,3,10.156,17,65,1,2
10592,0,39,32,0.24,23,66,2,1
7498,1,29,13,159.24,20,62,2,1
16988,0,20,28,125.14,21,60,2,1
3971,1,20,19,132.51,1,64,0,1
14075,1,57,11,79.247,13,63,1,1
8096,1,7,31,195.247,8,66,2,2
12420,1,29,32,237.172,19,60,1,2
12729,1,41,10,196.249,11,66,2,1
14947,0,87,23,76.137,17,64,0,1
2007,1,74,26,88.229,19,61,1,1
7325,1,75,22,198.142,8,64,0,1
11028,0,33,15,173.146,12,68,0,1
